Year,race_name,Laps,Course_length,distance
2022,bahrain,57,5.412,308.238
2022,saudi-arabia,50,6.174,308.45
2022,australia,58,5.303,307.574
2022,emilia-romagna,63,4.909,309.049
2022,miami,57,5.41,308.37
2022,spain,66,4.675,308.424
2022,monaco,64,3.337,213.568
2022,azerbaijan,51,6.003,306.049
2022,canada,70,4.361,305.27
2022,great-britain,52,5.891,306.198
2022,austria,71,4.318,306.452
2022,france,53,5.842,309.69
2022,hungary,70,4.381,306.63
2022,belgium,44,7.004,308.052
2022,netherlands,72,4.259,306.587
2022,italy,53,5.793,306.72
2022,singapore,59,5.063,298.58
2022,japan,28,5.807,162.296
2022,united-states,56,5.513,308.405
2022,mexico,71,4.304,305.354
2022,sao-paulo,71,4.309,305.879
2022,abu-dhabi,58,5.281,306.183
2023,bahrain,57,5.412,308.238
2023,saudi-arabia,50,6.174,308.45
2023,australia,58,5.303,307.574
2023,azerbaijan,51,6.003,306.049
2023,miami,57,5.41,308.37
2023,monaco,78,3.337,260.286
2023,spain,66,4.675,308.424
2023,canada,70,4.361,305.27
2023,austria,71,4.318,306.452
2023,great-britain,52,5.891,306.198
2023,hungary,70,4.381,306.63
2023,belgium,44,7.004,308.052
2023,netherlands,72,4.259,306.587
2023,italy,51,5.793,295.134
2023,singapore,62,4.94,306.143
2023,japan,53,5.807,307.471
2023,qatar,57,5.38,306.669
2023,united-states,56,5.513,308.405
2023,mexico,71,4.304,305.354
2023,sao-paulo,71,4.309,305.879
2023,las-vegas,50,6.116,305.8
2023,abu-dhabi,58,5.281,306.183
2024,bahrain,57,5.412,308.238
2024,saudi-arabia,50,6.174,308.45
2024,australia,58,5.278,306.124
2024,japan,53,5.807,307.471
2024,china,56,5.451,305.066
2024,miami,57,5.412,308.326
2024,emilia-romagna,62,4.909,309.049
2024,monaco,78,3.337,260.286
2024,canada,70,4.361,305.27
2024,spain,66,4.657,307.236
2024,austria,71,4.318,306.452
2024,great-britain,52,5.891,306.198
2024,hungary,70,4.381,306.63
2024,belgium,44,7.004,308.052
2024,netherlands,72,4.259,306.587
2024,italy,53,5.793,306.72
2024,azerbaijan,51,6.003,306.049
2024,singapore,62,4.94,306.143
2024,united-states,56,5.513,308.405
2024,mexico,71,4.304,305.354
2024,sao-paulo,69,4.309,297.261
2024,las-vegas,50,6.201,309.958
2024,qatar,57,5.419,308.611
2024,abu-dhabi,58,5.281,306.183
