year,race_name,driver,Qualifying_time,Starting_Position
2022,bahrain,charles-leclerc,90.558,1
2022,bahrain,max-verstappen,90.681,2
2022,bahrain,carlos-sainz-jr,90.687,3
2022,bahrain,sergio-perez,90.921,4
2022,bahrain,lewis-hamilton,91.238,5
2022,bahrain,valtteri-bottas,91.56,6
2022,bahrain,kevin-magnussen,91.808,7
2022,bahrain,fernando-alonso,92.195,8
2022,bahrain,george-russell,92.216,9
2022,bahrain,pierre-gasly,92.338,10
2022,bahrain,esteban-ocon,91.782,11
2022,bahrain,mick-schumacher,91.998,12
2022,bahrain,lando-norris,92.008,13
2022,bahrain,alexander-albon,92.664,14
2022,bahrain,guanyu-zhou,93.543,15
2022,bahrain,yuki-tsunoda,92.75,16
2022,bahrain,nico-hulkenberg,92.777,17
2022,bahrain,daniel-ricciardo,92.945,18
2022,bahrain,lance-stroll,93.032,19
2022,bahrain,nicholas-latifi,93.634,20
2022,saudi-arabia,sergio-perez,88.2,1
2022,saudi-arabia,charles-leclerc,88.225,2
2022,saudi-arabia,carlos-sainz-jr,88.402,3
2022,saudi-arabia,max-verstappen,88.461,4
2022,saudi-arabia,esteban-ocon,89.068,5
2022,saudi-arabia,george-russell,89.104,6
2022,saudi-arabia,fernando-alonso,89.147,7
2022,saudi-arabia,valtteri-bottas,89.183,8
2022,saudi-arabia,pierre-gasly,89.254,9
2022,saudi-arabia,kevin-magnussen,89.588,10
2022,saudi-arabia,lando-norris,89.651,11
2022,saudi-arabia,daniel-ricciardo,89.773,12
2022,saudi-arabia,guanyu-zhou,89.819,13
2022,saudi-arabia,mick-schumacher,89.92,14
2022,saudi-arabia,lance-stroll,91.009,15
2022,saudi-arabia,lewis-hamilton,90.343,16
2022,saudi-arabia,alexander-albon,90.492,17
2022,saudi-arabia,nico-hulkenberg,90.543,18
2022,saudi-arabia,nicholas-latifi,91.817,19
2022,australia,charles-leclerc,77.868,1
2022,australia,max-verstappen,78.154,2
2022,australia,sergio-perez,78.24,3
2022,australia,lando-norris,78.703,4
2022,australia,lewis-hamilton,78.825,5
2022,australia,george-russell,78.933,6
2022,australia,daniel-ricciardo,79.032,7
2022,australia,esteban-ocon,79.061,8
2022,australia,carlos-sainz-jr,79.408,9
2022,australia,fernando-alonso,78.815,10
2022,australia,pierre-gasly,79.226,11
2022,australia,valtteri-bottas,79.41,12
2022,australia,yuki-tsunoda,79.424,13
2022,australia,guanyu-zhou,80.155,14
2022,australia,mick-schumacher,80.465,15
2022,australia,kevin-magnussen,80.254,16
2022,australia,sebastian-vettel,81.149,17
2022,australia,nicholas-latifi,81.372,18
2022,australia,alexander-albon,80.135,19
2022,emilia-romagna,max-verstappen,87.999,1
2022,emilia-romagna,charles-leclerc,88.778,2
2022,emilia-romagna,lando-norris,89.131,3
2022,emilia-romagna,kevin-magnussen,89.164,4
