driver,efficiency_score
alexander-albon,1.0896382
carlos-sainz-jr,1.0396636
charles-leclerc,1.0857862
daniel-ricciardo,1.0870173
esteban-ocon,1.0883077
fernando-alonso,1.0457468
franco-colapinto,1.087274
george-russell,1.0894105
guanyu-zhou,1.0899999
kevin-magnussen,1.0899987
lance-stroll,1.0863513
lando-norris,1.0869758
lewis-hamilton,1.0873818
liam-lawson,0.9999999
logan-sargeant,1.0899385
max-verstappen,1.0672127
nico-hulkenberg,1.0871528
oscar-piastri,1.0864131
pierre-gasly,1.0883996
sergio-perez,1.0886173
valtteri-bottas,1.0882655
yuki-tsunoda,1.0685482
