race_number,Driver,starting_position,finishing_position,race_time,strategy,pit_laps,overtakes,number_of_laps_completed,lap_times
0,george-russell,4,1,5294.26576448283,"['soft', 'hard', 'soft']","[19, 53]",8,66,"[np.float64(84.8903407165008), np.float64(80.34353625431076), np.float64(78.38607188226355), np.float64(80.35860049585163), np.float64(81.11704555866132), np.float64(80.08158837781745), np.float64(80.57695671805985), np.float64(81.52937799887398), np.float64(81.02461055729863), np.float64(81.32570413116511), np.float64(81.68223480155372), np.float64(82.01453690227784), np.float64(81.15579961045297), np.float64(81.44442776896335), np.float64(82.23151559240173), np.float64(82.66864183956086), np.float64(83.01432217519891), np.float64(82.29979256872522), np.float64(82.22737283615298), np.float64(106.50148013047584), np.float64(79.63744273969327), np.float64(79.2994919981292), np.float64(78.5074753247731), np.float64(79.53038982339153), np.float64(79.81500754477732), np.float64(79.85505232135161), np.float64(79.52755947553389), np.float64(79.69802491241481), np.float64(79.67173660395048), np.float64(79.66788101962227), np.float64(79.52100719983994), np.float64(78.65216480298919), np.float64(79.42373575512546), np.float64(79.60283301274262), np.float64(78.76878603458952), np.float64(78.52986628232482), np.float64(79.79289278792643), np.float64(78.57092188289587), np.float64(79.11207695408315), np.float64(79.39927588186359), np.float64(79.72039518651314), np.float64(78.72476293757973), np.float64(78.12804149249891), np.float64(78.21577676822544), np.float64(79.58859391840093), np.float64(78.33425263522761), np.float64(79.46453871635094), np.float64(78.66748232667061), np.float64(79.35087749598055), np.float64(80.14423077327666), np.float64(79.04307963104259), np.float64(79.6555796496618), np.float64(79.7000567258151), np.float64(103.0154469277595), np.float64(75.44039876147001), np.float64(75.952627682072), np.float64(75.08221504169809), np.float64(75.91185097298055), np.float64(76.1583507522332), np.float64(74.93321706962102), np.float64(76.03665573500906), np.float64(76.83165511094577), np.float64(77.16538358104721), np.float64(76.98978913746036), np.float64(78.01993241772394), np.float64(77.34654417742519)]"
0,pierre-gasly,7,2,5301.160272020962,"['soft', 'medium', 'medium']","[19, 40]",9,66,"[np.float64(82.39130088178278), np.float64(78.91559492379356), np.float64(79.40187796341068), np.float64(77.7413463405363), np.float64(80.07947567825678), np.float64(79.20260895839388), np.float64(79.33782460985489), np.float64(79.56381316946921), np.float64(79.67613742607307), np.float64(80.75993872805297), np.float64(79.98090582354314), np.float64(79.34527109755562), np.float64(80.81614674129936), np.float64(81.556796621387), np.float64(81.84769953859589), np.float64(80.85711238362599), np.float64(81.38816934398481), np.float64(82.08788812448834), np.float64(82.21970133755754), np.float64(103.75542238754686), np.float64(77.7298537023638), np.float64(77.72770087452413), np.float64(78.12648499912522), np.float64(78.3654335268285), np.float64(78.80129265581381), np.float64(78.8576893078117), np.float64(79.02487318041565), np.float64(78.99694080570589), np.float64(78.38289695076506), np.float64(78.79488088297424), np.float64(77.99633295033918), np.float64(78.44784297991725), np.float64(78.34906906154218), np.float64(79.40930304456825), np.float64(78.53787775451049), np.float64(79.75677876648169), np.float64(79.68335385159459), np.float64(79.5220283900454), np.float64(78.85524745444405), np.float64(79.37292349453581), np.float64(102.28645666062577), np.float64(77.76926181310726), np.float64(77.70572447223519), np.float64(77.56680175701706), np.float64(77.35546535632396), np.float64(77.43814509817172), np.float64(77.69426263470096), np.float64(77.29272970567328), np.float64(77.18385389577452), np.float64(77.65818588551747), np.float64(79.2703636611766), np.float64(78.40583155251159), np.float64(79.72639288807278), np.float64(79.24962385614953), np.float64(78.3162930829476), np.float64(78.74881677359865), np.float64(78.3131897899596), np.float64(78.7810711873219), np.float64(79.2105893366801), np.float64(79.42806871921746), np.float64(78.65223627028732), np.float64(78.37186202614788), np.float64(78.57008749984014), np.float64(78.75972580378311), np.float64(78.95848530298048), np.float64(80.32036386727374)]"
0,lando-norris,1,3,5304.246380787563,"['medium', 'medium', 'soft']","[21, 43]",5,66,"[np.float64(83.95712776654183), np.float64(80.76740645486673), np.float64(81.33929502882162), np.float64(80.82982112918963), np.float64(81.01334939987983), np.float64(80.18742674405583), np.float64(80.4216750826491), np.float64(79.1727398727464), np.float64(78.91461313658068), np.float64(80.9657369867451), np.float64(79.65382628564024), np.float64(81.22426127748317), np.float64(79.5541644659188), np.float64(80.4079001257011), np.float64(80.0640470231105), np.float64(81.77452354002041), np.float64(80.21069147874974), np.float64(81.09584395903035), np.float64(81.8031018578928), np.float64(80.57310962838156), np.float64(80.46198412456985), np.float64(102.3043037350058), np.float64(78.30131453409157), np.float64(78.71469230874985), np.float64(79.30165819887074), np.float64(79.40312692763928), np.float64(79.02627592603805), np.float64(79.26194466789978), np.float64(79.2426556063508), np.float64(78.98312274656085), np.float64(79.03027845877406), np.float64(78.34246939952277), np.float64(79.0175194625785), np.float64(79.08955887579127), np.float64(78.54399032586112), np.float64(79.24984908837742), np.float64(78.84220252847521), np.float64(79.13766360901461), np.float64(79.49217766636269), np.float64(79.04538855711257), np.float64(79.45438266676157), np.float64(80.2612899283978), np.float64(79.5729268799177), np.float64(102.49481767173913), np.float64(74.78308618113867), np.float64(75.07165722189679), np.float64(75.90963445285362), np.float64(75.46944590939239), np.float64(76.21841921178309), np.float64(76.48950076966574), np.float64(76.13843482630521), np.float64(76.15588012782862), np.float64(75.34285347739402), np.float64(75.99375596845293), np.float64(76.64143452717585), np.float64(76.36850191230091), np.float64(76.44677361262251), np.float64(77.21213148702961), np.float64(76.65960014567898), np.float64(77.79795053923083), np.float64(77.18754442077648), np.float64(77.58743140409987), np.float64(77.1694564091479), np.float64(77.78248178490266), np.float64(77.77173903897172), np.float64(78.0895801315895)]"
0,esteban-ocon,10,3,5323.187603778198,"['soft', 'medium', 'soft']","[19, 40]",14,66,"[np.float64(82.71449264059981), np.float64(78.31246791308097), np.float64(79.75558036506152), np.float64(79.59668637050706), np.float64(79.22238856668743), np.float64(79.11031706824775), np.float64(79.80395868628327), np.float64(79.28688000057785), np.float64(78.60173343659126), np.float64(80.51303365629656), np.float64(79.76769766478347), np.float64(80.89724326042422), np.float64(79.8206259713246), np.float64(80.06614847900374), np.float64(79.84342587578462), np.float64(80.81176395325473), np.float64(80.23303058298711), np.float64(82.47093602757027), np.float64(82.06142567334177), np.float64(103.19505723653097), np.float64(77.71214810214364), np.float64(78.61777477067835), np.float64(79.1397347206283), np.float64(78.63641914319128), np.float64(78.50995831878367), np.float64(78.7607973773811), np.float64(78.93578784091926), np.float64(78.69827573025498), np.float64(79.52026352530086), np.float64(79.25999421242179), np.float64(78.48231408258987), np.float64(78.98847452558843), np.float64(78.50620467509363), np.float64(79.03931608999369), np.float64(79.15431279579387), np.float64(79.19095523620545), np.float64(80.2818305929361), np.float64(80.2075897671144), np.float64(80.1019324717818), np.float64(79.84344719608109), np.float64(102.91422919382728), np.float64(76.93941503362343), np.float64(77.005335359586), np.float64(77.18696144971204), np.float64(77.68550634488474), np.float64(76.48783975658132), np.float64(76.31237814944302), np.float64(77.16945355747806), np.float64(77.12992468599847), np.float64(76.5415969371332), np.float64(77.15198812489481), np.float64(77.70583653020644), np.float64(76.89716368767917), np.float64(77.25793283270528), np.float64(78.61104173121822), np.float64(78.108587697099), np.float64(77.73742382523699), np.float64(78.65834055716553), np.float64(78.35211012288198), np.float64(78.19540678855266), np.float64(78.86419683076477), np.float64(79.3392477787914), np.float64(78.90582218359765), np.float64(79.26237253376914), np.float64(79.86479156677458), np.float64(80.39825046435425)]"
0,max-verstappen,2,4,5324.327282231604,"['medium', 'soft', 'medium']","[20, 41]",6,66,"[np.float64(84.02070503831125), np.float64(80.24748527355978), np.float64(79.11637084558176), np.float64(79.48580268577999), np.float64(79.63339183013895), np.float64(78.88186257222863), np.float64(79.12895255887244), np.float64(80.38580920124434), np.float64(79.68935930953735), np.float64(80.06334908399154), np.float64(79.95780983111038), np.float64(80.83779626795938), np.float64(80.24044976658124), np.float64(79.09350055666698), np.float64(80.0945709292851), np.float64(80.605762901629), np.float64(79.03273154558029), np.float64(80.3290907318696), np.float64(81.34687892274695), np.float64(80.58565067510007), np.float64(104.35812710628204), np.float64(75.88341124343334), np.float64(76.76800738656573), np.float64(77.38855331861326), np.float64(77.30588643087783), np.float64(76.93516916699166), np.float64(77.51826919296578), np.float64(76.31844885179217), np.float64(77.6747325006592), np.float64(77.77328212203747), np.float64(77.58415569495499), np.float64(76.91797547425251), np.float64(77.46666499988062), np.float64(78.10548024413393), np.float64(77.23777914991719), np.float64(78.24772413722671), np.float64(77.51859488480697), np.float64(78.8677954999307), np.float64(78.92039131437416), np.float64(78.99008991723551), np.float64(78.81723476055511), np.float64(102.85028796906563), np.float64(76.3677434090271), np.float64(77.29369613213615), np.float64(76.15507501000027), np.float64(76.66213417442836), np.float64(77.10004008305005), np.float64(77.48397364409783), np.float64(76.05933220881384), np.float64(76.28393385384116), np.float64(76.82833715243906), np.float64(77.59857045945976), np.float64(76.936070905802), np.float64(76.94465535786864), np.float64(77.52522066174569), np.float64(77.2390305244754), np.float64(77.36576403910276), np.float64(76.89087271553224), np.float64(77.37520124446625), np.float64(78.0835439668156), np.float64(77.64970927901118), np.float64(78.05797020473744), np.float64(78.19728470043752), np.float64(78.31353854230392), np.float64(78.13618619104487), np.float64(79.32486202414546)]"
0,carlos-sainz-jr,6,6,5331.051892313493,"['soft', 'medium', 'soft']","[20, 41]",12,66,"[np.float64(82.44704904381193), np.float64(79.53340795383517), np.float64(79.5803792587156), np.float64(78.81476514003012), np.float64(78.90859439939496), np.float64(78.7943418907798), np.float64(79.27768951141731), np.float64(79.7035206771169), np.float64(78.48227777876437), np.float64(79.045812920649), np.float64(78.82016075271312), np.float64(80.53763686279099), np.float64(78.78599890199584), np.float64(79.58166566240867), np.float64(79.75682463550942), np.float64(78.7851413567902), np.float64(80.50234700937365), np.float64(81.4822008766071), np.float64(81.75839832229727), np.float64(81.13120716145083), np.float64(105.16711761445501), np.float64(80.09448454410317), np.float64(77.64267207370942), np.float64(78.55613118115933), np.float64(78.02638879431834), np.float64(79.12679783908887), np.float64(78.05557097633105), np.float64(78.9294722815849), np.float64(78.84556103758935), np.float64(78.8239905397714), np.float64(78.23411236000968), np.float64(79.02973276596052), np.float64(79.0850790412341), np.float64(79.1456509234069), np.float64(78.09773835761436), np.float64(78.87660925478535), np.float64(79.53702218533031), np.float64(79.67039679648342), np.float64(80.00631634689051), np.float64(79.58481395226471), np.float64(79.64473764296665), np.float64(102.54387006999636), np.float64(76.04453490979641), np.float64(75.43273978397362), np.float64(75.81215720028106), np.float64(75.65087027301342), np.float64(75.90389194304905), np.float64(75.67476625656174), np.float64(76.43454724191992), np.float64(76.9901611555744), np.float64(76.78869026235672), np.float64(77.16567787918663), np.float64(76.57076104874325), np.float64(76.47101679743555), np.float64(76.8173867633398), np.float64(76.68622370718445), np.float64(77.17903557832024), np.float64(76.88300926539559), np.float64(77.35917708856192), np.float64(78.36674911587997), np.float64(77.57849603090814), np.float64(78.84143316140236), np.float64(78.81601112266509), np.float64(79.65436514400349), np.float64(79.4529775360686), np.float64(79.08362730392888)]"
0,charles-leclerc,5,7,5350.979963768303,"['medium', 'soft', 'medium']","[19, 41]",9,66,"[np.float64(85.13110264860674), np.float64(80.37505847560945), np.float64(79.5236920140686), np.float64(80.20858367932694), np.float64(80.53884252444762), np.float64(79.97673309397636), np.float64(79.93895618741634), np.float64(79.85265811785945), np.float64(79.72338897313345), np.float64(80.29741182438785), np.float64(79.81494111964409), np.float64(79.47018190337371), np.float64(80.403169006887), np.float64(79.97751199677862), np.float64(79.24345527916779), np.float64(80.15428015149877), np.float64(81.16250916241901), np.float64(79.82329994116753), np.float64(81.24247519132958), np.float64(104.01825290633307), np.float64(77.09892836976955), np.float64(78.58460497680261), np.float64(76.36393490507348), np.float64(78.58671025792401), np.float64(77.18259714519338), np.float64(78.56253645233346), np.float64(77.98490313741098), np.float64(78.3791401562702), np.float64(79.1413595349502), np.float64(78.63077817819432), np.float64(78.77286730853245), np.float64(79.50160645055722), np.float64(79.45995824205217), np.float64(78.85689619496598), np.float64(78.53968065713325), np.float64(79.07796749627946), np.float64(78.31707515210975), np.float64(79.91823501371589), np.float64(79.18057305079925), np.float64(80.0879780231907), np.float64(80.87027931154248), np.float64(102.89965203478666), np.float64(76.77529509518351), np.float64(77.14120376354245), np.float64(77.33141083376616), np.float64(77.73543701132542), np.float64(76.95583109971902), np.float64(76.82342922528795), np.float64(78.82778684873522), np.float64(78.62252208378499), np.float64(77.49626964038399), np.float64(76.24752785743506), np.float64(77.14967403335987), np.float64(77.41590354856457), np.float64(77.03560066647177), np.float64(77.69018037658644), np.float64(77.48501611676404), np.float64(77.99919770979501), np.float64(77.31267161764045), np.float64(78.32410893340102), np.float64(78.20003474015668), np.float64(78.56703009039254), np.float64(78.00778628932525), np.float64(78.95881963693927), np.float64(78.93046178050206), np.float64(78.79602939499006)]"
0,lewis-hamilton,3,8,5360.119022479125,"['medium', 'hard', 'soft']","[22, 55]",6,66,"[np.float64(85.03769530318276), np.float64(80.39103512425031), np.float64(80.78455568606505), np.float64(80.84533361749479), np.float64(80.37917445091945), np.float64(79.95408924278848), np.float64(79.77619536547103), np.float64(81.20651778260921), np.float64(79.7139705917282), np.float64(81.19103694411821), np.float64(79.1807056791344), np.float64(81.6987365741391), np.float64(80.62069612345981), np.float64(80.76545248247783), np.float64(79.7710446333507), np.float64(81.11780386607349), np.float64(80.88895930146191), np.float64(81.08840353698079), np.float64(81.12219792038809), np.float64(81.10184029918835), np.float64(81.73526841072105), np.float64(81.22479209808633), np.float64(103.75370850517763), np.float64(79.7709467307586), np.float64(79.90442478099497), np.float64(79.4780409978509), np.float64(79.66959587614234), np.float64(79.54671950041349), np.float64(78.79605296152867), np.float64(78.65602319519306), np.float64(78.48399941958294), np.float64(78.47930098008158), np.float64(78.28967171187412), np.float64(79.49328333924052), np.float64(78.98692743889814), np.float64(79.26403111543684), np.float64(78.63601672332014), np.float64(79.11019608678392), np.float64(79.72302370038693), np.float64(78.79039796170139), np.float64(78.42636457761395), np.float64(78.59995621724605), np.float64(80.00042768520625), np.float64(79.31179520204785), np.float64(78.96158267520924), np.float64(79.03175486488489), np.float64(79.36997561577934), np.float64(79.04977614274429), np.float64(79.72705366125798), np.float64(79.03499671956135), np.float64(79.91744026052025), np.float64(79.74812151740626), np.float64(79.90616589005383), np.float64(79.27594124968223), np.float64(79.65310041047917), np.float64(103.23184274612771), np.float64(75.62707934784082), np.float64(75.6266461674881), np.float64(75.2543840732639), np.float64(74.82972048918118), np.float64(75.27718783921287), np.float64(74.89849788464814), np.float64(75.66316951667565), np.float64(76.15578666194517), np.float64(75.77916485397189), np.float64(76.61829872491609)]"
0,sergio-perez,9,9,5390.073518643773,"['medium', 'hard', 'medium']","[23, 54]",8,66,"[np.float64(84.73192730579746), np.float64(81.25229193081196), np.float64(79.55116000182016), np.float64(80.85131810537378), np.float64(79.47842733232139), np.float64(80.4338410220224), np.float64(79.31597178499028), np.float64(81.11984903875795), np.float64(79.63834802479543), np.float64(79.97421231065742), np.float64(80.92699540490935), np.float64(79.64084368923163), np.float64(79.83674432670192), np.float64(80.96967313894172), np.float64(80.11705630402115), np.float64(82.0264657854109), np.float64(81.49507528385283), np.float64(80.51206972285786), np.float64(81.50143737404832), np.float64(81.9401345197671), np.float64(81.00240311690659), np.float64(80.9426640002302), np.float64(80.9553405218452), np.float64(104.49795508605045), np.float64(79.16854260067282), np.float64(78.57957206163003), np.float64(79.44573754084827), np.float64(79.06405051698245), np.float64(78.92517865140195), np.float64(78.73776239886213), np.float64(78.71330387340981), np.float64(79.75836346387486), np.float64(79.02980241759325), np.float64(79.61040315830233), np.float64(78.54495533371251), np.float64(78.92053932971638), np.float64(79.25984902026985), np.float64(79.45741228510138), np.float64(79.17297269967146), np.float64(79.53797657293458), np.float64(78.70541221961547), np.float64(78.8170069901952), np.float64(79.510166637588), np.float64(78.96974694964844), np.float64(79.97350698404037), np.float64(80.2019449838288), np.float64(79.74749872467952), np.float64(79.3218003402784), np.float64(79.59329464167068), np.float64(79.36231386100553), np.float64(80.27487413432905), np.float64(80.39334702222143), np.float64(79.61711308475913), np.float64(80.13955099517854), np.float64(103.43770183311919), np.float64(76.97651997247557), np.float64(77.23040729531056), np.float64(77.5926233920674), np.float64(76.56842594777571), np.float64(76.31309495847057), np.float64(76.79022329482362), np.float64(76.34484449207474), np.float64(77.29639782371072), np.float64(76.71566193240554), np.float64(77.46043717988239), np.float64(77.82769645364121)]"
0,oscar-piastri,8,10,5402.2648459722595,"['medium', 'soft', 'hard']","[23, 45]",8,66,"[np.float64(83.36237243114498), np.float64(80.6815231156196), np.float64(80.43889573110218), np.float64(79.07931627980238), np.float64(79.99534614873559), np.float64(80.71458839802779), np.float64(80.38717538493549), np.float64(79.84558118519625), np.float64(80.50777002190938), np.float64(80.69930368763409), np.float64(80.72334944086349), np.float64(79.64743098109487), np.float64(79.64996564197673), np.float64(80.51814482648365), np.float64(80.7285589692142), np.float64(81.2439448767623), np.float64(82.35742687059103), np.float64(81.40949227939758), np.float64(80.80007280490817), np.float64(81.43698631198052), np.float64(81.42297564506475), np.float64(81.33888494898869), np.float64(81.52569808767511), np.float64(103.38165244676422), np.float64(79.46762653486452), np.float64(78.2217896397488), np.float64(78.39277996197782), np.float64(79.12975232036247), np.float64(78.27835968217055), np.float64(79.50947382949579), np.float64(78.32502851382938), np.float64(78.93077145165536), np.float64(77.89038067231364), np.float64(77.89869188319477), np.float64(79.81322371562638), np.float64(79.40811968756202), np.float64(78.50050193226717), np.float64(79.05731101107654), np.float64(80.31932402208716), np.float64(77.61701868901461), np.float64(78.47314735076304), np.float64(79.5959715247353), np.float64(79.59610924225849), np.float64(79.45767063337394), np.float64(80.52897177147607), np.float64(103.14263489655059), np.float64(77.97970864000526), np.float64(78.84522895448121), np.float64(77.52440743892029), np.float64(78.26700906600064), np.float64(77.3365936935532), np.float64(77.99679858791758), np.float64(78.29907226682401), np.float64(78.67516291970904), np.float64(78.21040725565729), np.float64(77.64530493839762), np.float64(77.79518444788322), np.float64(78.29786507801384), np.float64(78.42629992399635), np.float64(77.75022489208985), np.float64(78.21195263824379), np.float64(77.4014574842005), np.float64(78.69746618061271), np.float64(77.99187584045059), np.float64(78.40156659635069), np.float64(78.32449795723718)]"
