race_number,Driver,starting_position,finishing_position,race_time,strategy,pit_laps,overtakes,number_of_laps_completed,lap_times
0,george-russell,4,1,5270.011401551308,"['soft', 'hard', 'soft']","[18, 49]",7,66,"[np.float64(83.28057145610852), np.float64(78.69851125321698), np.float64(78.86120253213905), np.float64(79.9971577637376), np.float64(79.67938833108961), np.float64(80.21115843871581), np.float64(79.69637598023469), np.float64(78.73780367535012), np.float64(79.44521388355349), np.float64(80.61771868316973), np.float64(80.136603844523), np.float64(79.70661053745208), np.float64(78.30774267454873), np.float64(78.53244646762829), np.float64(79.1899844010317), np.float64(78.50068193304261), np.float64(79.53663286721223), np.float64(80.30213780435612), np.float64(102.6113086758232), np.float64(78.81233695881485), np.float64(78.41377640847074), np.float64(79.9150851123735), np.float64(78.42327916590656), np.float64(79.77831927657033), np.float64(78.83293271981557), np.float64(79.51854964256914), np.float64(78.32152365768002), np.float64(78.93129068384367), np.float64(79.69277117697393), np.float64(78.51687835274966), np.float64(79.84887450231233), np.float64(79.888983476624), np.float64(79.07278609560542), np.float64(79.44382046380866), np.float64(78.64537394669867), np.float64(79.51067264812379), np.float64(79.3586331630644), np.float64(79.5296420683434), np.float64(79.72152894949676), np.float64(78.77670949242888), np.float64(79.60999781502125), np.float64(80.00565839324356), np.float64(79.83386973600385), np.float64(79.70245388195764), np.float64(80.06810099759963), np.float64(80.25837433939161), np.float64(79.42211163804042), np.float64(80.06153899844067), np.float64(80.20857438359852), np.float64(103.60393963301134), np.float64(76.23085351626867), np.float64(75.32969329145803), np.float64(75.51546984947069), np.float64(75.63069770747053), np.float64(76.38525835981181), np.float64(75.70497156499808), np.float64(76.91471405362397), np.float64(76.43460877625196), np.float64(77.09805057406639), np.float64(77.21802905863899), np.float64(76.9655622363285), np.float64(77.82008310399947), np.float64(76.78787370634551), np.float64(77.81831733840848), np.float64(77.58081391480607), np.float64(78.50475875643257)]"
0,max-verstappen,2,2,5282.036450775345,"['soft', 'hard', 'medium']","[21, 55]",3,66,"[np.float64(84.5409604278908), np.float64(82.09887811602331), np.float64(82.04259751539044), np.float64(80.73095718997463), np.float64(81.27489435054585), np.float64(81.19672834108462), np.float64(81.13785076971236), np.float64(81.05295621576118), np.float64(80.67672602422823), np.float64(80.64240549176799), np.float64(82.0952547973436), np.float64(81.66674267182364), np.float64(81.02856515076665), np.float64(78.1063846796036), np.float64(79.5457438997307), np.float64(79.84493623520522), np.float64(79.9535840489178), np.float64(78.94224770010098), np.float64(80.59811805773946), np.float64(80.12346730186475), np.float64(80.32102301082462), np.float64(103.65799396135039), np.float64(79.11398971034143), np.float64(77.95842684892133), np.float64(78.18809094004341), np.float64(78.06712701225307), np.float64(79.1240836408193), np.float64(78.08113547424622), np.float64(79.2839669788973), np.float64(77.99429078513221), np.float64(78.10578480414682), np.float64(79.0126182663613), np.float64(78.55065329778618), np.float64(79.60853020889593), np.float64(78.73194793625763), np.float64(79.32476380788584), np.float64(78.8231114452688), np.float64(79.15496249617217), np.float64(79.15012216897604), np.float64(78.48399254867972), np.float64(79.5609267776277), np.float64(79.42381944929205), np.float64(79.55518879317364), np.float64(79.41771394397671), np.float64(79.75369516018856), np.float64(79.59180867080791), np.float64(79.39447761334972), np.float64(79.73821543953149), np.float64(79.58724844887358), np.float64(79.28176257391507), np.float64(79.06019305290809), np.float64(79.88632256498146), np.float64(79.62446287153273), np.float64(80.67192356475064), np.float64(80.37505192407167), np.float64(103.3906317905713), np.float64(76.28290601715938), np.float64(75.47399219705504), np.float64(76.46517802618341), np.float64(76.78742116878306), np.float64(75.57790495813234), np.float64(76.54674959419766), np.float64(75.66596777233315), np.float64(75.77841850704517), np.float64(76.52133072416453), np.float64(75.77602012380396)]"
0,charles-leclerc,5,3,5295.747022404542,"['soft', 'medium', 'hard']","[20, 43]",7,66,"[np.float64(83.34742329885454), np.float64(79.82456332801375), np.float64(80.18686481148944), np.float64(80.09979937173998), np.float64(78.95717107845897), np.float64(80.62623127599248), np.float64(79.44410682311506), np.float64(79.50393281273979), np.float64(79.19738751660888), np.float64(79.14865777872744), np.float64(79.13689331990469), np.float64(79.67007750939496), np.float64(79.92455682024351), np.float64(80.16125047567404), np.float64(79.70068508981807), np.float64(80.4207352191998), np.float64(80.33999989042526), np.float64(80.06365546395097), np.float64(80.43989795419347), np.float64(81.12268196066428), np.float64(104.06955361066522), np.float64(77.98881078003865), np.float64(78.7637709744684), np.float64(77.46694510224646), np.float64(78.27888262748615), np.float64(78.45115411975414), np.float64(77.85294789161594), np.float64(78.4446872186894), np.float64(78.58247158466986), np.float64(78.8957080568885), np.float64(78.4947886070833), np.float64(78.86868808001202), np.float64(78.08228788375263), np.float64(78.84017784755574), np.float64(78.12585372577618), np.float64(79.46505579012461), np.float64(79.0844006176858), np.float64(78.56813585206186), np.float64(79.74527964860462), np.float64(79.62783305460546), np.float64(79.14379208094043), np.float64(79.95031229844675), np.float64(79.36001728457839), np.float64(103.25842890144321), np.float64(77.6680861558471), np.float64(78.0508829434299), np.float64(77.38525846461927), np.float64(77.48669214919991), np.float64(77.75837642918735), np.float64(78.06203979083915), np.float64(77.28387341487574), np.float64(78.62085544551012), np.float64(77.43295837164855), np.float64(78.56049497859681), np.float64(78.2393384876917), np.float64(77.67143311058342), np.float64(77.84828652255932), np.float64(78.24479343316779), np.float64(78.66936422975766), np.float64(77.56610288033836), np.float64(79.02727747323081), np.float64(78.45741751591446), np.float64(78.70956448432494), np.float64(78.01542742035386), np.float64(77.95792217212953), np.float64(77.80058645706903)]"
0,lando-norris,1,5,5307.069806702039,"['medium', 'medium', 'medium']","[19, 40]",5,66,"[np.float64(84.65204076762832), np.float64(80.86204590218537), np.float64(80.27887690313734), np.float64(80.22098350456953), np.float64(79.86580950742062), np.float64(80.73186692213721), np.float64(79.4332177886246), np.float64(79.30745797042252), np.float64(80.15183966056861), np.float64(79.81508945943837), np.float64(78.98147202115963), np.float64(80.34433115938924), np.float64(80.29402041726281), np.float64(79.639030100989), np.float64(79.99109083460972), np.float64(80.4457860752758), np.float64(80.74906552094755), np.float64(79.74330271534106), np.float64(80.58225646537765), np.float64(103.67677057340947), np.float64(77.81052591834587), np.float64(78.80278395902786), np.float64(78.04209936263092), np.float64(77.98342400356897), np.float64(77.8668972704199), np.float64(78.5305641562449), np.float64(77.82318940794546), np.float64(78.4792366434404), np.float64(78.47377040720917), np.float64(78.8610721722018), np.float64(79.08240462111642), np.float64(78.67526738336798), np.float64(78.23198370577373), np.float64(78.75564930917726), np.float64(79.06753745361904), np.float64(78.68853079677912), np.float64(79.07714890379792), np.float64(79.21735993663486), np.float64(78.90246491970167), np.float64(79.31242084801207), np.float64(102.7558010890472), np.float64(76.74040568501519), np.float64(76.66411117954279), np.float64(76.16939192886386), np.float64(77.55204664232917), np.float64(77.99402919957528), np.float64(78.09827124158326), np.float64(77.5098273233615), np.float64(76.1870039393763), np.float64(77.74457422282514), np.float64(77.58376024761967), np.float64(78.40606509327647), np.float64(77.71248365197263), np.float64(78.25920853359602), np.float64(78.28086683694762), np.float64(78.46353864000059), np.float64(78.66553945668643), np.float64(78.4449441921994), np.float64(77.5722908227613), np.float64(78.07875966864292), np.float64(77.92484749857104), np.float64(78.19821966763833), np.float64(79.13899249646788), np.float64(79.54778365614023), np.float64(79.23304128717179), np.float64(79.3805197937002)]"
0,lewis-hamilton,3,6,5314.879619235274,"['hard', 'medium', 'medium']","[32, 55]",5,66,"[np.float64(84.77366619958954), np.float64(80.86935325969036), np.float64(81.09205962109533), np.float64(80.80259744009676), np.float64(81.17386668471063), np.float64(81.03663451292715), np.float64(81.00639068754248), np.float64(81.31168445908662), np.float64(80.33051534599186), np.float64(80.64610109342819), np.float64(81.10398592057687), np.float64(81.24303694388767), np.float64(80.45466933292904), np.float64(80.65705463367391), np.float64(79.60544155988326), np.float64(80.80285103449575), np.float64(80.5469434598768), np.float64(79.80929438022919), np.float64(80.61115205902915), np.float64(80.23244196022539), np.float64(81.11961596271945), np.float64(80.3775717614408), np.float64(80.34688423325585), np.float64(81.24439902073644), np.float64(80.33882516246607), np.float64(79.94298106230328), np.float64(81.20460508088252), np.float64(81.06739997574101), np.float64(81.01296847605991), np.float64(81.68550264742252), np.float64(81.43942311537738), np.float64(81.85936075925946), np.float64(104.39446014230586), np.float64(76.90964138511701), np.float64(77.97100545757249), np.float64(77.10765627471922), np.float64(77.39759011264029), np.float64(77.55767059585585), np.float64(77.59108337251715), np.float64(76.93852740914753), np.float64(77.53396642611726), np.float64(77.02268712732919), np.float64(78.23019813312739), np.float64(77.32954242063471), np.float64(78.04453316258558), np.float64(77.9596576402759), np.float64(78.14983735959855), np.float64(77.85481337680656), np.float64(79.50849091921742), np.float64(78.30961452081998), np.float64(79.01496497267594), np.float64(79.01708573001416), np.float64(79.28327438510063), np.float64(79.86889892830035), np.float64(79.8675913220803), np.float64(102.046416997862), np.float64(76.35182130247946), np.float64(76.76936808881402), np.float64(76.21332528780562), np.float64(77.70681675811592), np.float64(76.09035871960782), np.float64(76.34596552173682), np.float64(76.17599964022043), np.float64(77.06172489198154), np.float64(76.84352542367257), np.float64(76.46309373481972)]"
0,oscar-piastri,8,7,5327.536400500815,"['medium', 'soft', 'hard']","[22, 42]",6,66,"[np.float64(84.64943486212587), np.float64(80.95334345050598), np.float64(80.25285835887261), np.float64(80.47060526598416), np.float64(80.49282532061306), np.float64(79.30346288705918), np.float64(80.85556384565842), np.float64(80.32134252099917), np.float64(80.71330960609019), np.float64(80.20583008886284), np.float64(79.70577211994743), np.float64(79.97758638939975), np.float64(80.50065244791777), np.float64(80.5979810727316), np.float64(80.28944987516816), np.float64(80.27370025900824), np.float64(80.46686082693886), np.float64(81.05498897310461), np.float64(80.18884822523796), np.float64(81.19976193347497), np.float64(81.10165627659856), np.float64(81.61860366780066), np.float64(104.13970698959439), np.float64(76.97650059605176), np.float64(77.98954587661099), np.float64(78.12254634829273), np.float64(76.67047273912115), np.float64(77.85549803618645), np.float64(78.19789132221788), np.float64(78.45261089122218), np.float64(77.7270701358299), np.float64(78.3970987304252), np.float64(77.99494975000663), np.float64(78.12401276959224), np.float64(78.89132450524697), np.float64(78.21043346488273), np.float64(78.63822775867477), np.float64(78.01927492151549), np.float64(78.08724413040026), np.float64(78.77397761086934), np.float64(78.7446896411123), np.float64(80.08982643277507), np.float64(102.25246470681363), np.float64(78.07936976515523), np.float64(77.90919377203278), np.float64(78.1631360760093), np.float64(78.00227121238464), np.float64(77.92166005956163), np.float64(77.70553586917161), np.float64(78.86243150363615), np.float64(77.56086804195698), np.float64(78.33484110441891), np.float64(77.72718621756691), np.float64(78.2974026433193), np.float64(78.86058377273609), np.float64(78.10941388679248), np.float64(78.54015995691933), np.float64(77.86337272250515), np.float64(78.44546817582263), np.float64(79.03859166551582), np.float64(79.43766691576738), np.float64(78.84127184066482), np.float64(78.64759457754376), np.float64(78.20324629628905), np.float64(77.85572046319334), np.float64(78.96762108635609)]"
0,fernando-alonso,11,7,5331.391980583172,"['medium', 'soft', 'medium']","[21, 43]",6,66,"[np.float64(84.91984537992788), np.float64(80.55081245515942), np.float64(80.7194432825547), np.float64(80.89912985143172), np.float64(80.27472160395565), np.float64(79.99286152509332), np.float64(81.45591967531945), np.float64(80.03085457353491), np.float64(79.94846851298982), np.float64(79.96273579400159), np.float64(79.64159622241891), np.float64(80.4246278071936), np.float64(80.45777845095579), np.float64(80.87830424535558), np.float64(80.19471735357077), np.float64(80.76510692982751), np.float64(80.84793621451664), np.float64(80.81574193668848), np.float64(80.9182113948515), np.float64(80.99794447455392), np.float64(81.53975060534448), np.float64(104.23385753117871), np.float64(76.83544350340948), np.float64(78.22930530356291), np.float64(78.18723079452666), np.float64(77.16695607307835), np.float64(77.18895833764729), np.float64(78.29446420469668), np.float64(77.79659330410314), np.float64(78.57465405162077), np.float64(80.1646418489557), np.float64(78.99404757681191), np.float64(77.85096376414971), np.float64(79.00550568704199), np.float64(79.2386733651848), np.float64(79.24762453203459), np.float64(79.18955605796077), np.float64(79.66209456653507), np.float64(78.36988330207092), np.float64(79.5886550858196), np.float64(80.16582704855651), np.float64(80.18151430459561), np.float64(80.01885740091603), np.float64(102.69325782634542), np.float64(77.11150874411318), np.float64(78.05448038341352), np.float64(76.70494013168458), np.float64(77.95195792921932), np.float64(77.49515047718592), np.float64(76.54912054069348), np.float64(77.09266906699088), np.float64(76.82947643145947), np.float64(77.73835553413183), np.float64(77.43728403263258), np.float64(77.62630699485437), np.float64(77.9137301609326), np.float64(78.36764504463544), np.float64(77.43204847637215), np.float64(78.65731293131306), np.float64(78.72773299097706), np.float64(77.7621630087271), np.float64(78.0369657044039), np.float64(78.20191648349467), np.float64(78.38559939826636), np.float64(78.91395402953975), np.float64(78.47656861495179)]"
0,esteban-ocon,10,8,5343.58792708976,"['soft', 'medium', 'hard']","[19, 40]",10,66,"[np.float64(84.28558006894825), np.float64(80.3954968875716), np.float64(78.80751363084674), np.float64(80.45395573923088), np.float64(80.30048591836962), np.float64(80.86981604718305), np.float64(79.69745312539354), np.float64(78.97752499027398), np.float64(79.73694545064885), np.float64(80.07550559266625), np.float64(80.26104688815734), np.float64(79.58278763338613), np.float64(80.45506223282861), np.float64(80.56981954924889), np.float64(80.19725879085041), np.float64(80.10171252518097), np.float64(80.74000041496875), np.float64(80.62374295363833), np.float64(80.61380819590464), np.float64(104.36059425765018), np.float64(79.4623324584571), np.float64(79.17836122729477), np.float64(80.04091004627102), np.float64(78.61419642271218), np.float64(80.31686576879099), np.float64(79.60506482236062), np.float64(79.7965755705083), np.float64(79.70151937210987), np.float64(80.3298371240998), np.float64(80.50426219369977), np.float64(78.71901934409925), np.float64(79.06261278218965), np.float64(79.38981600624729), np.float64(79.5339317219729), np.float64(79.30448809602915), np.float64(79.64149514471076), np.float64(79.80381441206069), np.float64(80.16312109490077), np.float64(80.48031628921716), np.float64(80.5076724273678), np.float64(102.40308315800947), np.float64(78.57137600255761), np.float64(79.20859879688705), np.float64(79.91539916937367), np.float64(78.04354550971269), np.float64(79.37879923201723), np.float64(77.784299151678), np.float64(78.58763206995914), np.float64(78.5636904171281), np.float64(77.80486689009129), np.float64(78.96153238549839), np.float64(77.75898639504358), np.float64(77.67952306809252), np.float64(77.78373508162088), np.float64(77.84056144868136), np.float64(79.0683477705695), np.float64(79.2626812563104), np.float64(78.92399746098646), np.float64(77.81940603581496), np.float64(78.08324018758867), np.float64(77.89557310845501), np.float64(79.03220501666603), np.float64(78.26909377722119), np.float64(79.43593729450231), np.float64(79.47590985355019), np.float64(79.64772929513877)]"
0,nico-hulkenberg,13,10,5356.6147745716535,"['medium', 'soft', 'medium']","[22, 43]",9,66,"[np.float64(85.76268009194038), np.float64(81.39600794246277), np.float64(80.3262382608839), np.float64(80.1287183326175), np.float64(80.70771813461032), np.float64(80.08222559269639), np.float64(80.07281462017508), np.float64(80.55799613150239), np.float64(81.01456351858056), np.float64(81.09290473683544), np.float64(79.94932992822955), np.float64(80.59119371119131), np.float64(80.35384400542935), np.float64(80.63444283937167), np.float64(80.1935008198043), np.float64(80.45014083550033), np.float64(81.01010658936859), np.float64(80.94528964094505), np.float64(81.39967262034669), np.float64(82.60091385168982), np.float64(81.66206100034553), np.float64(81.94668431482891), np.float64(103.44125968313391), np.float64(77.40354365342549), np.float64(77.32707787019385), np.float64(77.41085344159794), np.float64(78.45472600210466), np.float64(77.79718504903144), np.float64(78.89405048693241), np.float64(77.2213649825528), np.float64(78.47986155050444), np.float64(78.45757101602004), np.float64(78.60198332856291), np.float64(79.93646936166594), np.float64(77.41656103856235), np.float64(79.1835933197901), np.float64(78.51295142270209), np.float64(78.57599219170247), np.float64(78.46735819650677), np.float64(80.15106248746898), np.float64(79.25116786759537), np.float64(79.85479527706903), np.float64(80.05555828055104), np.float64(103.7009722319779), np.float64(77.96085639029309), np.float64(77.49738494299348), np.float64(76.9988363014126), np.float64(77.71485541882736), np.float64(77.43077187818461), np.float64(77.85815062876394), np.float64(77.32886944066887), np.float64(77.1367643561273), np.float64(77.03651361088544), np.float64(78.34869889404308), np.float64(77.26629288815055), np.float64(78.48787655552226), np.float64(78.03686497622041), np.float64(77.7745201797927), np.float64(78.85546058984353), np.float64(78.88667209577437), np.float64(78.29844834682683), np.float64(78.55871139514123), np.float64(78.40158974865737), np.float64(79.74875438561284), np.float64(79.36877581457483), np.float64(79.22080657802717)]"
0,lance-stroll,14,10,5369.412240885339,"['soft', 'medium', 'soft']","[19, 41]",8,66,"[np.float64(83.44705354802413), np.float64(79.85666394573035), np.float64(81.10650730355724), np.float64(80.86408168944551), np.float64(79.36567546988897), np.float64(80.33272235836021), np.float64(79.33199807303569), np.float64(80.97481500643502), np.float64(80.48483112961503), np.float64(80.39547003346559), np.float64(80.17242453488295), np.float64(80.25132327349274), np.float64(80.37515095636351), np.float64(81.05813957623054), np.float64(80.29100342751943), np.float64(80.86950926269643), np.float64(80.88229161929335), np.float64(80.84925873359867), np.float64(81.3040981098782), np.float64(105.07114067096597), np.float64(80.28630975682596), np.float64(80.37387573794675), np.float64(80.44873265245025), np.float64(78.42396954334107), np.float64(79.05880557105965), np.float64(79.26196240199839), np.float64(78.46560538430617), np.float64(78.67017874207193), np.float64(79.3712562244798), np.float64(79.30101900291355), np.float64(78.57491906432946), np.float64(79.34244904787569), np.float64(79.44541358957876), np.float64(78.80015021563867), np.float64(79.15170841216303), np.float64(80.20677841193651), np.float64(80.22265811322272), np.float64(79.95469870325688), np.float64(79.71383643660971), np.float64(79.69894911148218), np.float64(80.14156465946336), np.float64(102.55893794913372), np.float64(77.38143311497), np.float64(76.36207065332017), np.float64(77.12049143377246), np.float64(77.68484727181722), np.float64(78.62235993197012), np.float64(76.4203023207866), np.float64(76.52112732081174), np.float64(78.16692436045646), np.float64(77.68404161827904), np.float64(78.04447756462594), np.float64(77.655693176511), np.float64(78.75464420943072), np.float64(77.9086479439768), np.float64(77.90721973842513), np.float64(77.81178239115943), np.float64(79.01145838840635), np.float64(78.06481916816506), np.float64(78.46152531806415), np.float64(78.43990994753457), np.float64(79.6981970412476), np.float64(78.94613620954918), np.float64(79.69412013245255), np.float64(79.84018385198111), np.float64(81.23045311200156)]"
